Temperature,Appliances,Time,Previous_Usage,Consumption
30,8,Morning,10,12
32,9,Afternoon,12,15
28,6,Evening,11,13
25,4,Night,8,9
35,10,Evening,15,19
27,5,Morning,9,10
31,7,Afternoon,13,15
24,3,Night,6,7
33,9,Evening,14,18
29,6,Morning,10,12
36,11,Afternoon,16,21
26,4,Night,7,8
30,7,Evening,12,14
22,3,Morning,5,6
34,10,Afternoon,15,20
28,5,Night,8,9
32,8,Evening,13,16
27,6,Morning,9,11
35,12,Afternoon,17,22
23,3,Night,6,7
31,8,Evening,14,16
29,5,Morning,9,11
37,11,Afternoon,18,23
25,4,Night,7,8
33,9,Evening,15,18
28,6,Morning,10,12
36,10,Afternoon,16,21
24,3,Night,5,6
30,7,Evening,12,15
27,5,Morning,8,10
